query,category
what document do i need for international travel ?,travel_documents
how do i request a refund for a cancelled flight ?,refund
is there a loyalty program for frequent flyer ?,loyalty
how can i check in online for my flight ?,check-in
are there any special meal available for dietary restriction ?,services
how do i access the airport lounge at abuja airport ?,services
can i cancel my flight booking online ?,booking
what are the baggage allowance for infant ?,baggage
is there wi-fi available on your flight ?,services
how early should i arrive at the airport before departure ?,check-in
how do i track the status of my flight ?,flight_status
what are the rule for carrying sport equipment ?,baggage
how do i update my contact information in my booking ?,booking
how can i provide feedback about my flight experience ?,feedback
how can i book a flight online ?,booking
what is the fee for excess baggage ?,baggage
can i book an extra seat for additional comfort ?,services
do you offer in-flight meal on international flight ?,services
what are the covid-19 travel requirement for ibom airline ?,health
can i travel with an infant ? what are the requirement ?,travel_with_infant
what is the baggage allowance for domestic flight ?,baggage
can i reschedule my flight to a later date ?,booking
what is your policy on flight delay and compensation ?,policy
can i change my flight date after booking ?,booking
what should i do if my flight is delayed ?,flight_status
how can i book a flight using my loyalty point ?,loyalty
what is the procedure for reporting lost baggage ?,baggage
can i request a specific seat during booking ?,services
how do i contact customer service for assistance ?,contact
can i purchase travel insurance with my ticket ?,services
do you provide special assistance for disabled passenger ?,special_assistance
is there a mobile app for managing my booking ?,services
how can i check my flight schedule and timing ?,flight_status
can i carry a pet on board your flight ?,baggage
how do i cancel my flight and get a refund ?,refund
what are the available payment option for booking ticket ?,payment
how do i earn and redeem loyalty point ?,loyalty
what are the carry-on baggage restriction ?,baggage
